resort,country,country code,lat,long,coord,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
St Wolfgang,Austria,AT,48.6712393,14.8809197,48.6712393;14.8809197,53,145,39329,1,127,3.36,16,289,125,22,5,375.41,14,61
Stubai glacier,Austria,AT,47.522617,14.143702,47.522617;14.143702,53,145,16124,1,127,4,20,135,210,19,161,401.59,13,141
Valle Nevado,Chile,CL,-33.3543477,-70.2491559,-33.3543477;-70.2491559,53,145,321326,4,40,4,20,135,304,16,229,401.59,13,141
Montgenevre,France,FR,44.9300126,6.7184146,44.9300126;6.7184146,53,145,60832,1,127,3.8,19,202,172,21,34,436,12,166
Kronplatz,Italy,IT,46.7387791,11.9583111,46.7387791;11.9583111,53,145,155518,2,81,4.4,22,31,184,20,100,509,9,216
La Villa,Italy,IT,43.0964348,13.227899,43.0964348;13.227899,53,145,5,1,127,4.2,21,82,173,21,34,478.94,10,197
Sansicario,Italy,IT,44.9650273,6.838196435,44.9650273;6.83819643465953,53,145,23049,1,127,3.5,17,274,154,21,34,375.41,14,61
Tomamu,Japan,JP,43.05,142.65,43.05;142.65,53,145,51709,1,127,3.8,19,202,180,20,100,401.59,13,141
Gstaad,Switzerland,CH,46.4761004,7.2873587,46.4761004;7.2873587,53,145,344718,4,40,3.6,18,239,327,16,229,335.65,15,24
St Moritz,Switzerland,CH,46.4978958,9.8392428,46.4978958;9.8392428,53,145,598585,6,25,3.66,18,239,332,15,242,375,14,61
Sun Valley,USA,US,43.696215,-114.353097,43.696215;-114.353097,53,145,423941,5,29,4,20,135,337,15,242,401.59,13,141
Hopfgarten,Austria,AT,47.6736887,14.9902439,47.6736887;14.9902439,52,161,21067,1,127,4.1,20,135,202,20,100,470,11,178
Maria Alm,Austria,AT,47.423299,12.94816,47.423299;12.94816,52,161,56461,1,127,3.63,18,239,238,19,161,361,14,61
Soll,Austria,AT,47.5037162,12.1916425,47.5037162;12.1916425,52,161,55379,1,127,3.56,17,274,201,20,100,375.41,14,61
Zell am Ziller,Austria,AT,47.2335951,11.881991,47.2335951;11.881991,52,161,27671,1,127,3.7,18,239,209,20,100,402,13,141
Bansko,Bulgaria,BG,41.8344086,23.4841698,41.8344086;23.4841698,52,161,314548,4,40,4.66,23,4,119,23,1,720,2,251
Courchevel,France,FR,45.4140984,6.6349892,45.4140984;6.6349892,52,161,522312,6,25,4.5,22,31,277,17,210,566,7,236
Font Romeu,France,FR,42.5050306,2.0419811,42.5050306;2.0419811,52,161,89818,1,127,3.9,19,202,161,21,34,441,11,178
La Joue du Loup,France,FR,44.6883952,5.8930366,44.6883952;5.8930366,52,161,10262,1,127,4.06,20,135,153,21,34,478.94,10,197
La Plagne,France,FR,43.2273738,1.3738302,43.2273738;1.3738302,52,161,264475,3,60,4,20,135,234,19,161,483,10,197
Superdevoluy,France,FR,44.6765415,5.9295878,44.6765415;5.9295878,52,161,18304,1,127,3.4,17,274,153,21,34,401.59,13,141
Ruhpolding,Germany,DE,47.7620099,12.6459934,47.7620099;12.6459934,52,161,72091,1,127,3.3,16,289,189,20,100,352,15,24
Cortina,Italy,IT,43.7070273,11.6858483,43.7070273;11.6858483,52,161,1043021,11,14,4.4,22,31,259,18,186,723,1,264
Courmayeur,Italy,IT,45.7874248,6.9730618,45.7874248;6.9730618,52,161,421735,5,29,4.3,21,82,219,19,161,566,7,236
Trysil Trysilfjellet,Norway,NO,61.33213,12.27765,61.33213;12.27765,52,161,0,0,294,3.7,18,239,176,21,34,401.59,13,141
Lauterbrunnen,Switzerland,CH,46.5939043,7.9078016,46.5939043;7.9078016,52,161,423734,5,29,3.73,18,239,265,18,186,451.64,11,178
Alta,USA,US,42.6736893,-95.3039943,42.6736893;-95.3039943,52,161,20297,1,127,4.13,20,135,455,11,277,205,20,1
Loveland,USA,US,40.385549,-105.0443613,40.385549;-105.044361320949,52,161,29388,1,127,4,20,135,279,17,210,361,14,61
Mammoth Mountain,USA,US,37.6307692,-119.032634,37.6307692;-119.032634,52,161,447827,5,29,3.96,19,202,374,14,254,367,14,61
Solitude,USA,US,37.5637458,-79.6064274,37.5637458;-79.6064274,52,161,3531,1,127,4,20,135,308,16,229,352,15,24
Sugarbush,USA,US,44.5417138,-73.9698685,44.5417138;-73.9698685,52,161,96089,1,127,3.9,19,202,237,19,161,402,13,141
